buy_fill_count,buy_quantity,buy_quote_cost_usdt,caspian_funding_average,caspian_funding_pnl_percent,caspian_funding_pnl_usdt,caspian_total_average,caspian_total_pnl_percent,caspian_total_pnl_usdt,caspian_trading_average,caspian_trading_pnl_percent,caspian_trading_pnl_usdt,coin,current_price,deposit_amount,deposit_count,diagnostics,estimated_opening_quantity,fee_totals,fill_count,first_fill_at,funding_quantity,last_fill_at,net_fill_quantity,okx_accumulated_average,okx_implied_price,okx_open_average,okx_raw_fields,okx_spot_balance,okx_spot_pnl_percent,okx_spot_pnl_usdt,okx_total_pnl_ratio_raw,okx_total_pnl_usdt,price_difference,price_difference_percent,sell_fill_count,sell_quantity,sell_quote_value_usdt,total_quantity,trading_average_difference,trading_average_difference_percent,trading_pnl_difference_usdt,trading_pnl_percent_difference_points,trading_quantity,transfer_count,withdrawal_amount,withdrawal_count
88,0.4803297299999998,33152.87560189202,,,,64435.15194915827,0.8562842395049776,23.318194197572666,64435.15194915827,0.8562842395049776,23.318194197572666,BTC,64986.9,0.0,0,"[""Erişilebilir fill geçmişi güncel toplam bakiyeyi tek başına açıklamıyor. Üç aydan eski işlem, deposit, Earn/bot veya başka bir kaynak olabilir."", ""Coin cinsinden komisyon bulundu: BTC. Net miktar ile fillSz ayrımı kontrol edilmeli."", ""Ortalama maliyet farkı fiyat farkından bağımsız olarak anlamlı görünüyor.""]",-0.001350914759999794,"{""BTC"": -0.0004371534299999999, ""USDT"": -29.828188190688202}",291,2026-04-21T13:02:57.145000+00:00,0.0,2026-07-27T14:53:59+00:00,0.043613309999999794,65285.02800989252,64913.5,64367.049618700075,"{""accAvgPx"": ""65285.02800989252"", ""availBal"": ""0.00000000524"", ""cashBal"": ""0.04226239524"", ""ccy"": ""BTC"", ""eq"": ""0.04226239524"", ""eqUsd"": ""2743.39999341174"", ""frozenBal"": ""0.04226239"", ""openAvgPx"": ""64367.049618700075"", ""spotBal"": ""0.04226239524"", ""spotUpl"": ""23.09430199354612"", ""spotUplRatio"": ""0.0084895980868629"", ""totalPnl"": ""-15.70166359680843"", ""totalPnlRatio"": ""-0.0056908608484663"", ""uTime"": ""1785164039000""}",0.04226239524,0.84895980868629,23.09430199354612,-0.0056908608484663,-15.70166359680843,73.40000000000146,0.11307355172653062,203,0.43671642,30139.405768949015,0.04226239524,68.10233045819768,0.10580309469149947,0.2238922040265443,0.007324430818687611,0.04226239524,2,0.0,0
20,11979.222,2535.9666531000003,,,,0.18514152288369926,0.8417761137677094,2.1123564759796807,0.18514152288369926,0.8417761137677094,2.1123564759796807,JUP,0.1867,1726.074006,1,"[""Harici deposit geçmişi var. OKX average cost, deposit anındaki fiyatı maliyete katabilir; mevcut Caspian ledger deposit maliyetini işlemiyor."", ""Erişilebilir fill geçmişi güncel toplam bakiyeyi tek başına açıklamıyor. Üç aydan eski işlem, deposit, Earn/bot veya başka bir kaynak olabilir."", ""Coin cinsinden komisyon bulundu: JUP. Net miktar ile fillSz ayrımı kontrol edilmeli."", ""Ortalama maliyet farkı fiyat farkından bağımsız olarak anlamlı görünüyor.""]",-10.127186399999573,"{""JUP"": -10.126776600000001, ""USDT"": -2.11905390726}",43,2026-05-10T18:01:39.223000+00:00,0.0,2026-07-24T15:18:20.494000+00:00,1365.5249999999996,0.1847606504864322,0.18630000000000005,0.1846128419660431,"{""accAvgPx"": ""0.1847606504864322"", ""availBal"": ""0.0008136000001286"", ""cashBal"": ""1355.3978136"", ""ccy"": ""JUP"", ""eq"": ""1355.3978136"", ""eqUsd"": ""252.51061267368001"", ""frozenBal"": ""1355.397"", ""openAvgPx"": ""0.1846128419660431"", ""spotBal"": ""1355.3978136"", ""spotUpl"": ""2.2867703104229147"", ""spotUplRatio"": ""0.0091388985510947"", ""totalPnl"": ""2.086430965056053"", ""totalPnlRatio"": ""0.008331587432254"", ""uTime"": ""1784906300493""}",1355.3978136,0.9138898551094701,2.2867703104229147,0.008331587432254,2.086430965056053,0.00039999999999995595,0.21470746108424896,23,10613.697,2174.9556087000005,1355.3978136,0.0005286809176561491,0.2863727745187913,-0.174413834443234,-0.07211374134176063,1355.3978136,0,0.0,0
13,171.99894500000002,1450.9556017959999,,,,8.316941108338417,3.6679217477653743,9.195572291513429,8.316941108338417,3.6679217477653743,9.195572291513429,LINK,8.622,0.0,0,"[""Erişilebilir fill geçmişi güncel toplam bakiyeyi tek başına açıklamıyor. Üç aydan eski işlem, deposit, Earn/bot veya başka bir kaynak olabilir."", ""Coin cinsinden komisyon bulundu: LINK. Net miktar ile fillSz ayrımı kontrol edilmeli."", ""Ortalama maliyet farkı fiyat farkından bağımsız olarak anlamlı görünüyor.""]",52.89534899999998,"{""LINK"": -0.1523284104, ""USDT"": -1.6613039096428004}",34,2026-04-19T07:16:37.415000+00:00,0.0,2026-07-24T14:39:50.337000+00:00,-22.751751999999982,8.318751002183111,8.613,8.312096,"{""accAvgPx"": ""8.318751002183111"", ""availBal"": ""0"", ""cashBal"": ""30.143597"", ""ccy"": ""LINK"", ""eq"": ""30.143597"", ""eqUsd"": ""259.62680096099996"", ""frozenBal"": ""30.143597"", ""openAvgPx"": ""8.312096"", ""spotBal"": ""30.143597"", ""spotUpl"": ""9.070328911687975"", ""spotUplRatio"": ""0.0362007368538572"", ""totalPnl"": ""8.869723207846148"", ""totalPnlRatio"": ""0.0353717760923085"", ""uTime"": ""1784975415356""}",30.143597,3.62007368538572,9.070328911687975,0.0353717760923085,8.869723207846148,0.009000000000000341,0.10449320794148775,21,194.750697,1685.6808816159999,30.143597,0.0048451083384168925,0.05828985057940732,0.12524337982545397,0.047848062379654444,30.143597,0,0.0,0
16,9399.1419,953.2532326689999,,,,0.08115153736958614,-1.7393846319357025,-2.6291441883909386,0.08115153736958614,-1.7393846319357025,-2.6291441883909386,ARB,0.07974,0.0,0,"[""Erişilebilir fill geçmişi güncel toplam bakiyeyi tek başına açıklamıyor. Üç aydan eski işlem, deposit, Earn/bot veya başka bir kaynak olabilir."", ""Coin cinsinden komisyon bulundu: ARB. Net miktar ile fillSz ayrımı kontrol edilmeli."", ""Ortalama maliyet farkı fiyat farkından bağımsız olarak anlamlı görünüyor.""]",-8.812097299997959,"{""ARB"": -8.811957419999999, ""USDT"": -0.7929535762230001}",41,2026-05-06T14:34:17.595000+00:00,0.0,2026-07-27T17:37:07.059000+00:00,1871.4224999999979,0.0887720653175558,0.07969999999999998,0.0810517553737138,"{""accAvgPx"": ""0.0887720653175558"", ""availBal"": ""0.010402699999986"", ""cashBal"": ""1862.6104027"", ""ccy"": ""ARB"", ""eq"": ""1862.6104027"", ""eqUsd"": ""148.45004909518997"", ""frozenBal"": ""1862.6"", ""openAvgPx"": ""0.0810517553737138"", ""spotBal"": ""1862.6104027"", ""spotUpl"": ""-2.517793620984987"", ""spotUplRatio"": ""-0.0166776816551491"", ""totalPnl"": ""-16.897723234453366"", ""totalPnlRatio"": ""-0.1021950462130536"", ""uTime"": ""1785173827059""}",1862.6104027,-1.6677681655149101,-2.517793620984987,-0.1021950462130536,-16.897723234453366,4.0000000000026126e-05,0.05018820577167646,25,7527.719400000003,792.9535762230001,1862.6104027,9.978199587233616e-05,0.12310898809317686,-0.1113505674059514,-0.07161646642079234,1862.6104027,0,0.0,0
14,33599.572289,2370.3992220057503,,,,0.07122742129165144,1.1127437916125438,3.8566084745366425,0.07122742129165144,1.1127437916125438,3.8566084745366425,DOGE,0.07202,0.0,0,"[""Erişilebilir fill geçmişi güncel toplam bakiyeyi tek başına açıklamıyor. Üç aydan eski işlem, deposit, Earn/bot veya başka bir kaynak olabilir."", ""Coin cinsinden komisyon bulundu: DOGE. Net miktar ile fillSz ayrımı kontrol edilmeli."", ""Ortalama maliyet farkı fiyat farkından bağımsız olarak anlamlı görünüyor.""]",-31.283503092204228,"{""DOGE"": -31.2834284108, ""USDT"": -1.86432369642312}",22,2026-07-15T17:23:00.001000+00:00,0.0,2026-07-27T12:41:33.812000+00:00,4897.183172000005,0.0678091055168937,0.07195000000000001,0.0711767373186364,"{""accAvgPx"": ""0.0678091055168937"", ""availBal"": ""0.0000689078005962"", ""cashBal"": ""4865.8996689078"", ""ccy"": ""DOGE"", ""eq"": ""4865.8996689078"", ""eqUsd"": ""350.10148117791624"", ""frozenBal"": ""4865.8996"", ""openAvgPx"": ""0.0711767373186364"", ""spotBal"": ""4865.8996689078"", ""spotUpl"": ""3.7626186252259726"", ""spotUplRatio"": ""0.0108639804308809"", ""totalPnl"": ""20.149177094328934"", ""totalPnlRatio"": ""0.0610669385997817"", ""uTime"": ""1785156093812""}",4865.8996689078,1.08639804308809,3.7626186252259726,0.0610669385997817,20.149177094328934,6.999999999998674e-05,0.09728978457260143,8,28702.389117,2014.7627228298402,4865.8996689078,5.068397301503935e-05,0.07120862085619739,0.09398984931066989,0.026345748524453816,4865.8996689078,0,0.0,0
4,59146174.0,175.105912121,,,,2.96056194811519e-06,-0.6607511836610609,-1.155989771582881,2.96056194811519e-06,-0.6607511836610609,-1.155989771582881,PEPE,2.941e-06,0.0,0,"[""Erişilebilir fill geçmişi güncel toplam bakiyeyi tek başına açıklamıyor. Üç aydan eski işlem, deposit, Earn/bot veya başka bir kaynak olabilir."", ""Coin cinsinden komisyon bulundu: PEPE. Net miktar ile fillSz ayrımı kontrol edilmeli."", ""Ortalama maliyet farkı fiyat farkından bağımsız olarak anlamlı görünüyor.""]",-52377.98460000008,"{""PEPE"": -52377.9846}",4,2026-07-26T16:33:13.387000+00:00,0.0,2026-07-27T10:21:14.084000+00:00,59146174.0,2.9603701133e-06,2.9369999999500204e-06,2.957747869e-06,"{""accAvgPx"": ""0.0000029603701133"", ""availBal"": ""0.0153999999165535"", ""cashBal"": ""59093796.0154"", ""ccy"": ""PEPE"", ""eq"": ""59093796.0154"", ""eqUsd"": ""173.5584788972298"", ""frozenBal"": ""59093796"", ""openAvgPx"": ""0.000002957747869"", ""spotBal"": ""59093796.0154"", ""spotUpl"": ""-1.2260703413937237"", ""spotUplRatio"": ""-0.0070147524294029"", ""totalPnl"": ""-1.3810287098911544"", ""totalPnlRatio"": ""-0.0078943214644954"", ""uTime"": ""1785147674084""}",59093796.0154,-0.7014752429402901,-1.2260703413937237,-0.0078943214644954,-1.3810287098911544,4.0000000499794796e-09,0.13619339632439728,0,0.0,0.0,59093796.0154,2.814079115189847e-09,0.09514263013031173,0.07008056981084265,0.040724059279229174,59093796.0154,0,0.0,0
11,847.47544003,1602.8373381160495,,,,1.763078070571675,0.44932380253337584,2.2449211243812215,1.763078070571675,0.44932380253337584,2.2449211243812215,NEAR,1.771,0.0,0,"[""Erişilebilir fill geçmişi güncel toplam bakiyeyi tek başına açıklamıyor. Üç aydan eski işlem, deposit, Earn/bot veya başka bir kaynak olabilir."", ""Coin cinsinden komisyon bulundu: NEAR. Net miktar ile fillSz ayrımı kontrol edilmeli."", ""Ortalama maliyet farkı fiyat farkından bağımsız olarak anlamlı görünüyor.""]",-0.724075809783983,"{""NEAR"": -0.7240757747759998, ""USDT"": -1.0669111659404638}",25,2026-06-07T20:38:22.155000+00:00,0.0,2026-07-27T16:23:31.569000+00:00,284.10467704999996,1.7622942353883106,1.769,1.7608844,"{""accAvgPx"": ""1.7622942353883106"", ""availBal"": ""0.0000000001180069"", ""cashBal"": ""283.380601250118"", ""ccy"": ""NEAR"", ""eq"": ""283.380601250118"", ""eqUsd"": ""501.3002836114587"", ""frozenBal"": ""283.38060125"", ""openAvgPx"": ""1.7608844"", ""spotBal"": ""283.380601240216"", ""spotUpl"": ""2.299803607425097"", ""spotUplRatio"": ""0.0046088204313696"", ""totalPnl"": ""1.9002836074358243"", ""totalPnlRatio"": ""0.0038051333750244"", ""uTime"": ""1785169411569""}",283.380601240216,0.46088204313696,2.299803607425097,0.0038051333750244,1.9002836074358243,0.0020000000000000018,0.11305822498586782,14,563.37076298,1096.01009035498,283.380601240216,0.002193670571675188,0.1245777730596732,-0.05488248304387566,-0.01155824060358418,283.380601240216,0,0.0,0
47,96.988205,7550.190545629999,,,,75.56,0.3176283748014879,0.4760613260160085,75.56,0.3176283748014879,0.4760613260160085,SOL,75.8,3.5555049800000003,2,"[""Harici deposit geçmişi var. OKX average cost, deposit anındaki fiyatı maliyete katabilir; mevcut Caspian ledger deposit maliyetini işlemiyor."", ""Harici withdrawal geçmişi var. Mevcut Caspian ledger withdrawal hareketini açık maliyet zincirinde işlemiyor."", ""Erişilebilir fill geçmişi güncel toplam bakiyeyi tek başına açıklamıyor. Üç aydan eski işlem, deposit, Earn/bot veya başka bir kaynak olabilir."", ""Coin cinsinden komisyon bulundu: SOL. Net miktar ile fillSz ayrımı kontrol edilmeli."", ""Ortalama maliyet farkı fiyat farkından bağımsız olarak anlamlı görünüyor.""]",2.8355948584000172,"{""SOL"": -0.08942685219999999, ""USDT"": -7.170678525483999}",90,2026-04-19T07:16:54.411000+00:00,0.0,2026-07-26T17:13:55.307000+00:00,-0.8520060000000171,75.55016933546837,75.72,75.4897292,"{""accAvgPx"": ""75.55016933546837"", ""availBal"": ""0.0000008584000002"", ""cashBal"": ""1.9835888584"", ""ccy"": ""SOL"", ""eq"": ""1.9835888584"", ""eqUsd"": ""150.197348358048"", ""frozenBal"": ""1.983588"", ""openAvgPx"": ""75.4897292"", ""spotBal"": ""1.9835888584"", ""spotUpl"": ""0.4567625932948539"", ""spotUplRatio"": ""0.0030503593328561"", ""totalPnl"": ""0.3368742139795984"", ""totalPnlRatio"": ""0.0022479190453898"", ""uTime"": ""1785086035307""}",1.9835888584,0.30503593328561,0.4567625932948539,0.0022479190453898,0.3368742139795984,0.0799999999999983,0.10565240359217948,43,97.84021100000001,7605.079522620002,1.9835888584,0.07027080000000296,0.09308657051057875,0.019298732721154566,0.012592441515877906,1.9835888584,1,11.66292746,3
32,2132.9259999999995,4149.041734800001,,,,,,,,,,MORPHO,1.9458,0.0,0,"[""Erişilebilir fill geçmişi güncel toplam bakiyeyi tek başına açıklamıyor. Üç aydan eski işlem, deposit, Earn/bot veya başka bir kaynak olabilir."", ""Coin cinsinden komisyon bulundu: MORPHO. Net miktar ile fillSz ayrımı kontrol edilmeli."", ""Caspian Trading maliyetini doğrulayamıyor; PNL üretmemeli.""]",-53.05479759999984,"{""MORPHO"": -1.7658908000000002, ""USDT"": -3.7983468259599995}",94,2026-05-25T10:17:07.146000+00:00,0.0,2026-07-26T13:03:59.888000+00:00,53.054999999999836,40921.83367342846,1.944300000000174,1.9130786848593637,"{""accAvgPx"": ""40921.83367342846"", ""availBal"": ""0.0002024"", ""cashBal"": ""0.0002024"", ""ccy"": ""MORPHO"", ""eq"": ""0.0002024"", ""eqUsd"": ""0.00039352632"", ""frozenBal"": ""0"", ""openAvgPx"": ""1.9130786848593637"", ""spotBal"": ""0.0002024"", ""spotUpl"": ""0.0000063191941845"", ""spotUplRatio"": ""0.0163199325713732"", ""totalPnl"": ""-8.282185609181965"", ""totalPnlRatio"": ""-0.9999524874663416"", ""uTime"": ""1785071039888""}",0.0002024,1.6319932571373201,6.3191941845e-06,-0.9999524874663416,-8.282185609181965,0.0014999999998259739,0.0771485881718788,62,2079.8709999999996,3972.9458255000004,0.0002024,,,,,0.0002024,1,0.0,0
78,10354.548300000002,9310.122321940002,,,,,,,,,,SUI,0.7042,0.0,0,"[""Erişilebilir fill geçmişi güncel toplam bakiyeyi tek başına açıklamıyor. Üç aydan eski işlem, deposit, Earn/bot veya başka bir kaynak olabilir."", ""Coin cinsinden komisyon bulundu: SUI. Net miktar ile fillSz ayrımı kontrol edilmeli."", ""Caspian Trading maliyetini doğrulayamıyor; PNL üretmemeli.""]",-9.959439279999025,"{""SUI"": -9.95941622, ""USDT"": -9.07388656671}",172,2026-05-05T13:02:25.467000+00:00,0.0,2026-07-27T14:30:40.083000+00:00,9.959499999999025,,,,"{""accAvgPx"": """", ""availBal"": ""0.00006072"", ""cashBal"": ""0.00006072"", ""ccy"": ""SUI"", ""eq"": ""0.00006072"", ""eqUsd"": ""0.000042710448"", ""frozenBal"": ""0"", ""openAvgPx"": """", ""spotBal"": """", ""spotUpl"": """", ""spotUplRatio"": """", ""totalPnl"": """", ""totalPnlRatio"": """", ""uTime"": ""1785162640083""}",,,,,,,,94,10344.588800000003,9160.311470150002,6.072e-05,,,,,6.072e-05,0,0.0,0
